Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,createMusic,396,0,730.0,714.5699996642978,58.31210200267378,3240.3880810015835,40.0,6.690472942569696,0.0,730,740,750,750,760,780,1100,2200,3200,3200,3200
POST,createPlaylist,399,0,730.0,715.5627502078115,54.325823999533895,2947.3101180046797,43.0,6.7411583436497695,0.0,730,740,750,760,770,770,1100,2200,2900,2900,2900
POST,createUser,396,0,730.0,713.9875813280363,52.20079699938651,3260.6526620002114,39.0,6.690472942569696,0.0,730,740,740,750,760,780,1000,2300,3300,3300,3300
POST,deleteMusic,386,0,730.0,756.6173132929717,58.59907600097358,3991.65745999926,31.0,6.521521605636117,0.0,730,740,740,740,760,770,2800,3600,4000,4000,4000
POST,deletePlaylist,384,0,730.0,757.9425969033764,94.35452400066424,4007.468527997844,34.0,6.487731338249402,0.0,730,740,740,750,760,770,2700,3500,4000,4000,4000
POST,deleteUser,381,0,730.0,760.1639347453914,74.98864400258753,4007.9244790031225,30.0,6.437045937169328,0.0,730,740,740,750,760,780,2700,3300,4000,4000,4000
POST,music,1126,0,780.0,733.0567065107201,51.22327299613971,3456.6304500040133,143.8126110124334,19.0239205387209,0.0,780,790,800,800,810,820,830,850,3000,3500,3500
POST,musics,1121,0,780.0,734.4071536163524,44.151476002298295,3552.2856839961605,6100.0,18.939444870254114,0.0,780,790,800,800,820,830,840,850,3200,3600,3600
POST,playlist,1125,0,780.0,732.5659657093088,43.64440799690783,3552.8664710000157,77.56,19.007025405027544,0.0,780,790,800,800,810,820,830,850,3100,3600,3600
POST,playlists,1054,0,780.0,734.5608922980829,50.54430400195997,3374.221022000711,2752.0,17.80747091279914,0.0,780,790,800,800,810,830,840,850,2900,3400,3400
POST,updateMusic,1131,0,730.0,679.1014984897263,52.314781001769006,3138.6261640000157,67.72767462422635,19.108396207187692,0.0,730,740,750,750,760,770,780,790,3100,3100,3100
POST,updatePlaylist,1128,0,730.0,679.1149591533494,48.11211399646709,3571.251850000408,68.802304964539,19.057710806107618,0.0,730,740,750,750,760,770,780,790,3300,3600,3600
POST,updateUser,1119,0,730.0,683.9525051508612,67.79419200029224,3589.4542969981558,64.72386058981233,18.905654602867397,0.0,730,740,750,750,760,770,780,800,3100,3600,3600
POST,user,1125,0,780.0,733.2242420674753,50.683375004155096,3552.9514369991375,94.69244444444445,19.007025405027544,0.0,780,790,800,800,820,830,840,840,3100,3600,3600
POST,users,1058,0,780.0,732.1686415332167,35.27177099749679,3374.185837994446,3860.0,17.87505144757257,0.0,780,790,800,800,820,830,840,860,3200,3400,3400
,Aggregated,12329,0,750.0,719.4388205348964,35.27177099749679,4007.9244790031225,1175.2642550085166,208.30010330540853,0.0,750,770,780,790,810,820,830,1100,3600,4000,4000
