Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,createMusic,1287,0,140.0,140.26846821915836,1.8241169964312576,3721.7899640018004,37.0,21.30837931753918,0.0,140,150,160,160,160,170,640,1900,3500,3700,3700
POST,createPlaylist,1240,0,280.0,225.7679003032653,2.1004879963584244,3875.757469002565,40.0,20.530217835080485,0.0,280,290,290,300,310,320,640,2000,3600,3900,3900
POST,createUser,1288,0,140.0,140.71125213182617,1.8485489999875426,3743.7428970006295,36.0,21.324935944825537,0.0,140,150,150,160,160,170,730,2000,3600,3700,3700
POST,deleteMusic,1293,0,140.0,156.13130554297882,1.7929429959622212,4132.171982993896,29.0,21.407719081257312,0.0,140,150,150,160,160,170,1200,3200,4100,4100,4100
POST,deletePlaylist,1254,0,140.0,159.32786123998798,1.780591999704484,4139.859533999697,32.0,20.76201061708946,0.0,140,150,160,160,160,170,1200,3300,4100,4100,4100
POST,deleteUser,1264,0,140.0,157.82653187899328,1.8680409993976355,4149.713276005059,28.0,20.927576889953013,0.0,140,150,150,160,160,170,1200,3200,4100,4100,4100
POST,music,10701,0,150.0,134.4706517756128,1.3986679987283424,3770.514720999927,130.83123072610036,177.17246859128733,0.0,150,150,160,160,160,170,170,180,2100,3600,3800
POST,musics,10705,0,150.0,134.53323171058665,1.3522050066967495,3628.148356998281,5499.0,177.23869510043275,0.0,150,150,160,160,160,170,170,180,2100,3500,3600
POST,playlist,10733,0,150.0,134.2615179415244,1.2881609945907257,3794.0525880039786,70.56694307276624,177.70228066445068,0.0,150,150,160,160,160,170,170,180,2100,3600,3800
POST,playlists,10623,0,150.0,135.19594260347773,1.3216099978308193,3818.7468169999192,2451.0,175.88105166295162,0.0,150,150,160,160,160,170,170,180,2100,3600,3800
POST,updateMusic,10658,0,150.0,135.26659788324233,1.9177139984094538,3835.4338420031127,62.720960780634265,176.46053361797405,0.0,150,150,160,160,160,170,180,180,2000,3600,3800
POST,updatePlaylist,10649,0,150.0,135.54684870871458,1.901345000078436,3660.5078799984767,63.81538172598366,176.31152397239686,0.0,150,150,160,160,160,170,170,180,2200,3600,3700
POST,updateUser,10634,0,150.0,135.61756544614835,1.8441959982737899,3869.9172289998387,59.73528305435396,176.0631745631015,0.0,150,150,160,160,160,170,170,180,2200,3700,3900
POST,user,10728,0,150.0,134.27598455903063,1.3089450003462844,3831.8975099973613,87.72212900820283,177.6194975280189,0.0,150,150,160,160,160,170,170,180,2000,3500,3800
POST,users,10649,0,150.0,135.127148967845,1.3340540026547387,3845.4090410014032,3559.0,176.31152397239686,0.0,150,150,160,160,160,170,170,180,2100,3600,3800
,Aggregated,103706,0,150.0,136.9833401667565,1.2881609945907257,4149.713276005059,1235.627070757719,1717.0215893587556,0.0,150,150,160,160,160,170,180,280,3300,3900,4100
