Method,Name,Error,Occurrences
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:58:01.025039721-03:00"", grpc_status:5, grpc_message:""music not found""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music not found"", grpc_status:5, created_time:""2026-06-08T18:58:19.15965535-03:00""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:57:49.879998659-03:00"", grpc_status:5, grpc_message:""music not found""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music not found"", grpc_status:5, created_time:""2026-06-08T18:58:21.347227811-03:00""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music not found"", grpc_status:5, created_time:""2026-06-08T18:57:51.340822208-03:00""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music not found"", grpc_status:5, created_time:""2026-06-08T18:57:56.916736476-03:00""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:58:24.179597924-03:00"", grpc_status:5, grpc_message:""music not found""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:58:27.029342757-03:00"", grpc_status:5, grpc_message:""music not found""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:58:05.027985698-03:00"", grpc_status:5, grpc_message:""music not found""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:58:16.978255946-03:00"", grpc_status:5, grpc_message:""music not found""}""
>",1
