Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,/streaming.StreamingService/CreateMusic,969,0,1400.0,1350.5520424034812,5.930589999479707,3350.1425520007615,45.0,16.397106501028915,0.0,1400,1600,1800,1900,2100,2500,2700,3000,3400,3400,3400
grpc,/streaming.StreamingService/CreatePlaylist,979,0,1400.0,1348.0187561187365,5.053664994193241,3438.238367001759,25.67926455566905,16.566323286385252,0.0,1400,1600,1800,1900,2100,2500,2700,3100,3400,3400,3400
grpc,/streaming.StreamingService/CreateUser,970,0,1400.0,1348.0924423225651,5.162205001397524,3420.278840996616,64.0,16.41402817956455,0.0,1400,1600,1800,1900,2100,2400,2700,3000,3400,3400,3400
grpc,/streaming.StreamingService/DeleteMusic,938,0,1400.0,1363.736650966929,2.9672330056200735,3255.9820450042025,2.0,15.872534466424275,0.0,1400,1600,1800,1900,2200,2400,2600,2700,3300,3300,3300
grpc,/streaming.StreamingService/DeletePlaylist,943,0,1400.0,1363.5336859257575,3.176947997417301,3333.1133729952853,2.0,15.957142859102444,0.0,1400,1600,1800,1900,2200,2400,2700,2900,3300,3300,3300
grpc,/streaming.StreamingService/DeleteUser,925,0,1400.0,1361.5496118260135,3.2092589972307906,3135.7603880023817,2.0,15.65255264546104,0.0,1400,1600,1800,1900,2200,2400,2700,2700,3100,3100,3100
grpc,/streaming.StreamingService/GetMusic,1768,0,1500.0,1393.9348708427588,2.90823400428053,3617.911011002434,52.089366515837106,29.91752765100013,0.0,1500,1700,1800,1900,2200,2500,2700,3000,3400,3600,3600
grpc,/streaming.StreamingService/GetPlaylist,1762,0,1500.0,1399.4494361601332,3.581393997592386,3620.906966003531,23.535754824063563,29.815997579786327,0.0,1500,1700,1800,1900,2200,2500,2700,3000,3600,3600,3600
grpc,/streaming.StreamingService/GetUser,1771,0,1400.0,1392.7784465314535,2.093283001158852,3633.046753006056,45.5742518351214,29.96829268660703,0.0,1400,1700,1800,1900,2200,2500,2700,3000,3600,3600,3600
grpc,/streaming.StreamingService/ListMusics,1763,0,1500.0,1394.555492228097,3.8849110060255043,3564.7210370007087,2620.841179807147,29.832919258321958,0.0,1500,1700,1800,1900,2200,2500,2700,3000,3400,3600,3600
grpc,/streaming.StreamingService/ListPlaylists,1757,0,1500.0,1400.7425370210003,7.910603999334853,3570.094706999953,1236.0,29.731389187108157,0.0,1500,1700,1800,1900,2200,2500,2700,3000,3600,3600,3600
grpc,/streaming.StreamingService/ListUsers,1758,0,1500.0,1399.3792381262792,2.441549993818626,3534.5084220025456,2398.0,29.74831086564379,0.0,1500,1700,1900,1900,2200,2400,2700,3000,3400,3500,3500
grpc,/streaming.StreamingService/UpdateMusic,1753,0,1500.0,1405.0261592876307,6.924626002728473,3362.380505001056,45.968625213919,29.663702472965625,0.0,1500,1700,1800,1900,2200,2500,2700,3000,3300,3400,3400
grpc,/streaming.StreamingService/UpdatePlaylist,1764,0,1500.0,1396.390068455264,4.79376799921738,3614.827821002109,23.52267573696145,29.849840936857593,0.0,1500,1700,1800,1900,2100,2400,2700,3000,3400,3600,3600
grpc,/streaming.StreamingService/UpdateUser,1753,0,1400.0,1404.8212062751152,5.350620995159261,3347.152061003726,45.6685681688534,29.663702472965625,0.0,1400,1700,1900,1900,2200,2500,2800,3000,3300,3300,3300
,Aggregated,21573,0,1400.0,1387.2016950022758,2.093283001158852,3633.046753006056,535.8886571176935,365.0513710492227,0.0,1400,1700,1800,1900,2200,2400,2700,3000,3400,3600,3600
