Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781010444,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781010445,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781010446,50,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781010447,100,,Aggregated,0.000000,0.000000,52,87,130,150,200,220,240,250,250,250,250,164,0,51,77.79956176219879,2.441549993818626,252.33014400146203,528.6219512195122
1781010448,150,,Aggregated,0.000000,0.000000,63,100,130,140,180,210,230,240,250,250,250,687,0,63,79.02358150064701,2.093283001158852,252.33014400146203,473.30131004366814
1781010449,200,,Aggregated,0.000000,0.000000,63,100,130,140,180,210,230,240,250,250,250,687,0,63,79.02358150064701,2.093283001158852,252.33014400146203,473.30131004366814
1781010450,250,,Aggregated,211.333333,0.000000,110,160,200,230,310,380,420,430,500,500,500,978,0,110.0,135.52564675573322,2.093283001158852,498.20525600080146,496.461145194274
1781010451,300,,Aggregated,246.000000,0.000000,200,290,350,380,440,510,560,580,650,650,650,1769,0,200.0,223.25782293673186,2.093283001158852,650.0943579958403,507.99943470887507
1781010452,350,,Aggregated,246.000000,0.000000,200,290,350,380,440,510,560,580,650,650,650,1769,0,200.0,223.25782293673186,2.093283001158852,650.0943579958403,507.99943470887507
1781010453,400,,Aggregated,286.000000,0.000000,240,350,400,430,530,620,700,750,850,910,910,2090,0,240.0,268.1363798373828,2.093283001158852,909.7609239979647,516.4555023923444
1781010454,450,,Aggregated,297.571429,0.000000,350,460,550,600,690,760,810,840,910,1000,1000,2851,0,350.0,358.51835227194414,2.093283001158852,995.068796997657,522.4542265871625
1781010455,500,,Aggregated,297.571429,0.000000,350,460,550,600,690,760,810,840,910,1000,1000,2851,0,350.0,358.51835227194414,2.093283001158852,995.068796997657,522.4542265871625
1781010456,550,,Aggregated,313.666667,0.000000,380,520,620,660,740,820,900,980,1200,1200,1200,3162,0,380.0,397.9325573982799,2.093283001158852,1225.1094890016248,525.607210626186
1781010457,600,,Aggregated,317.800000,0.000000,480,660,740,820,990,1100,1200,1300,1700,1700,1700,3978,0,480.0,511.08395738795485,2.093283001158852,1733.3671899978071,528.4927099044746
1781010458,650,,Aggregated,317.800000,0.000000,480,660,740,820,990,1100,1200,1300,1700,1700,1700,3978,0,480.0,511.08395738795485,2.093283001158852,1733.3671899978071,528.4927099044746
1781010459,700,,Aggregated,361.600000,0.000000,520,690,800,860,1000,1200,1500,1900,2000,2000,2000,4238,0,520.0,556.2477188280368,2.093283001158852,1999.2085010017036,529.1153846153846
