Method,Name,Error,Occurrences
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 3487""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:59:26.238003348-03:00"", grpc_status:5, grpc_message:""music 3487""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 1573""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:59:26.07181169-03:00"", grpc_status:5, grpc_message:""music 1573""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 3086""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:59:37.259527153-03:00"", grpc_status:5, grpc_message:""music 3086""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 2355""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music 2355"", grpc_status:5, created_time:""2026-06-08T18:59:52.684266626-03:00""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 2492""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:59:36.775044872-03:00"", grpc_status:5, grpc_message:""music 2492""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 2616""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music 2616"", grpc_status:5, created_time:""2026-06-08T18:59:14.25095578-03:00""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 2554""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music 2554"", grpc_status:5, created_time:""2026-06-08T18:59:12.91935176-03:00""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 3172""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:59:47.743523448-03:00"", grpc_status:5, grpc_message:""music 3172""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 3594""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:59:10.419469485-03:00"", grpc_status:5, grpc_message:""music 3594""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 3248""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:59:17.841782615-03:00"", grpc_status:5, grpc_message:""music 3248""}""
>",1
