Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,DELETE /musics/:id,1396,0,2200.0,1826.664091825212,3.4568820001368294,2728.211680999948,0.0,23.584109539179522,0.0,2200,2300,2300,2300,2400,2500,2600,2600,2700,2700,2700
DELETE,DELETE /playlists/:id,1385,0,2200.0,1841.0928041949428,4.909512999802246,2719.8895609999454,0.0,23.3982748651602,0.0,2200,2300,2300,2300,2400,2500,2600,2600,2700,2700,2700
DELETE,DELETE /users/:id,1375,0,2200.0,1851.564429223277,4.082500999857075,2736.801294000088,0.0,23.229334252415363,0.0,2200,2300,2300,2300,2400,2500,2600,2600,2700,2700,2700
GET,GET /musics,1313,0,2200.0,1909.0503748659628,3.244290000111505,4659.478121999882,5637.431835491241,22.18190245339736,0.0,2200,2300,2300,2300,2400,2500,2700,3200,4500,4700,4700
GET,GET /musics/:id,1310,0,2200.0,1915.1992337213746,2.392030999999406,4762.616434999927,114.0679389312977,22.13122026957391,0.0,2200,2300,2300,2400,2400,2500,2600,3100,4300,4800,4800
GET,GET /playlists,1299,0,2200.0,1926.2822381462652,6.210986999803936,4638.204079000161,2455.2848344880676,21.945385595554587,0.0,2200,2300,2300,2400,2500,2500,2600,3300,4600,4600,4600
GET,GET /playlists/:id,1309,0,2200.0,1913.0840321398034,2.2906829999556066,4203.12948600008,49.357524828113064,22.114326208299424,0.0,2200,2300,2300,2300,2400,2500,2600,3200,4100,4200,4200
GET,GET /users,1294,0,2200.0,1932.0520681375624,3.5776530000930507,4571.5548939999735,3547.0,21.860915289182167,0.0,2200,2300,2300,2300,2500,2500,2600,3200,4400,4600,4600
GET,GET /users/:id,1310,0,2200.0,1918.8697848877862,2.9887980001603864,4621.2302779999845,70.06717557251909,22.13122026957391,0.0,2200,2300,2300,2300,2500,2500,2600,3200,4400,4600,4600
PATCH,PATCH /musics/:id,1277,0,2200.0,1958.1209331754058,8.462258999998085,4683.908618000032,112.89663273296789,21.57371624751594,0.0,2200,2300,2300,2400,2500,2600,2600,3400,4700,4700,4700
PATCH,PATCH /playlists/:id,1280,0,2200.0,1957.825499365624,4.663120000031995,4684.404781000012,49.5625,21.62439843133939,0.0,2200,2300,2300,2400,2500,2600,2700,3400,4600,4700,4700
PATCH,PATCH /users/:id,1279,0,2200.0,1961.2338268279898,5.498267999882955,4757.9480070000955,70.16419077404223,21.607504370064905,0.0,2200,2300,2300,2400,2500,2600,2700,3400,4600,4800,4800
POST,POST /musics,1454,0,2200.0,1870.8751667317767,3.9220300000124553,4579.3288509999,98.00825309491059,24.56396509309959,0.0,2200,2300,2300,2400,2500,2600,2900,3600,4500,4600,4600
POST,POST /playlists,1440,0,2200.0,1891.5798243583336,5.649631999858684,4532.4183060001815,48.24375,24.327448235256814,0.0,2200,2300,2300,2400,2500,2600,3100,3800,4500,4500,4500
POST,POST /users,1418,0,2200.0,1883.5369117940763,4.174315000000206,4687.387789000013,88.49365303244005,23.95577888721817,0.0,2200,2300,2300,2400,2500,2600,3100,3700,4600,4700,4700
,Aggregated,20139,0,2200.0,1902.355239592036,2.2906829999556066,4762.616434999927,800.5270867471075,340.22950000683124,0.0,2200,2300,2300,2400,2500,2500,2600,3200,4500,4700,4800
