Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,DELETE /musics/:id,1857,0,75,73.12908160196919,1.5864140004850924,2558.991383993998,0.0,30.802017705074167,0.0,75,80,83,85,91,99,130,750,2500,2600,2600
DELETE,DELETE /playlists/:id,1810,0,75,73.73340718115075,1.5825669979676604,2552.490044996375,0.0,30.02242975023384,0.0,75,81,84,86,92,100,140,760,2500,2600,2600
DELETE,DELETE /users/:id,1824,0,76,72.2651740893964,1.5338670054916292,2572.6378979961737,0.0,30.254647438909682,0.0,76,80,83,85,90,99,140,750,2500,2600,2600
GET,GET /musics,13949,0,79,73.78545315358087,1.319127004535403,2133.6309519974748,5529.33264033264,231.3717528099513,0.0,79,83,85,87,91,96,100,110,660,1800,2100
GET,GET /musics/:id,13933,0,79,73.75530940422159,1.1749270051950589,2150.1236440017237,112.99009545682911,231.10636116575034,0.0,79,83,85,87,91,96,100,110,590,1800,2200
GET,GET /playlists,13910,0,79,73.85171148780344,1.270017004571855,2113.809984999534,2478.0,230.72486067721144,0.0,79,83,85,86,91,96,100,110,670,1800,2100
GET,GET /playlists/:id,13926,0,79,73.82110576409671,1.1803239976870827,1836.3967659970513,49.56541720522763,230.9902523214124,0.0,79,83,85,86,91,96,100,110,690,1700,1800
GET,GET /users,13951,0,79,73.96514287418734,1.225877000251785,1827.3691930007772,3540.0,231.4049267654764,0.0,79,83,85,87,91,96,100,110,730,1700,1800
GET,GET /users/:id,13939,0,79,73.84736575825143,1.2134289936511777,2127.5838899964583,69.79395939450463,231.2058830323257,0.0,79,83,85,87,91,96,100,110,590,1700,2100
PATCH,PATCH /musics/:id,13889,0,79,74.29255128173666,1.8249410059070215,2119.1808379953727,112.83044135646915,230.37653414419768,0.0,79,83,85,87,91,96,100,110,680,1900,2100
PATCH,PATCH /playlists/:id,13852,0,79,74.54721616401433,1.7511479964014143,2191.968917999475,49.55284435460583,229.76281596698297,0.0,79,83,85,87,91,96,100,110,700,2000,2200
PATCH,PATCH /users/:id,13886,0,79,74.35531049970231,1.7491489998064935,2184.7707259948947,69.75745355033847,230.32677321091,0.0,79,83,85,87,91,96,100,110,720,2000,2200
POST,POST /musics,1873,0,74,65.07643364927456,1.718895000522025,2111.94684500515,101.0,31.06740934927513,0.0,74,79,82,84,90,96,110,310,1800,2100,2100
POST,POST /playlists,1811,0,140.0,108.4041949691291,2.0669910009019077,2031.1509749953984,52.72556598564329,30.0390167279964,0.0,140,150,150,160,160,170,180,330,1800,2000,2000
POST,POST /users,1859,0,74,66.35260605017271,1.7139219999080524,1983.2612340032938,89.0,30.83519166059929,0.0,74,80,83,85,91,99,110,350,1800,2000,2000
,Aggregated,136269,0,79,74.21368618588684,1.1749270051950589,2572.6378979961737,1232.0766131695398,2260.2908727263066,0.0,79,83,85,87,91,97,110,140,1000,2200,2600
