Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,createMusic,825,0,1200.0,1115.0181919951497,71.97475500015571,1881.660464999868,469.0072727272727,13.946418214579817,0.0,1200,1200,1200,1300,1300,1400,1400,1500,1900,1900,1900
POST,createPlaylist,820,0,1200.0,1126.2044151219516,64.46635200018136,1827.2732890000043,396.2280487804878,13.861894467824786,0.0,1200,1200,1200,1300,1300,1400,1400,1500,1800,1800,1800
POST,createUser,816,0,1200.0,1119.9674121397036,63.886455999863756,1706.063304000054,416.49754901960785,13.794275470420763,0.0,1200,1200,1200,1200,1300,1400,1400,1500,1700,1700,1700
POST,deleteMusic,809,0,1200.0,1114.1436724177977,62.17392000007749,1743.2590989999426,302.0,13.675942224963723,0.0,1200,1200,1200,1200,1300,1300,1400,1400,1700,1700,1700
POST,deletePlaylist,803,0,1200.0,1116.6694425666255,42.068902999972124,1690.0243269999464,314.0,13.574513728857687,0.0,1200,1200,1200,1200,1300,1300,1400,1500,1700,1700,1700
POST,deleteUser,804,0,1200.0,1128.1389583868172,46.085897000011755,1803.4601740000653,298.0,13.591418478208693,0.0,1200,1200,1200,1200,1300,1300,1400,1600,1800,1800,1800
POST,getMusic,771,0,1200.0,1118.8540336342426,63.950987999987774,1743.7642079999023,470.7704280155642,13.0335617496255,0.0,1200,1200,1200,1200,1300,1300,1400,1400,1700,1700,1700
POST,getPlaylist,772,0,1200.0,1118.7669468691722,22.752038000135144,1792.6337520000288,384.51943005181346,13.050466498976506,0.0,1200,1200,1200,1200,1300,1300,1400,1400,1800,1800,1800
POST,getUser,770,0,1200.0,1119.0788494701317,70.34655300003578,1744.9552109999331,385.33896103896103,13.016657000274495,0.0,1200,1200,1200,1200,1300,1300,1400,1400,1700,1700,1700
POST,listMusics,771,0,1200.0,1119.165830632941,48.45782999996118,1712.9296870000417,10664.0,13.0335617496255,0.0,1200,1200,1200,1200,1300,1300,1400,1500,1700,1700,1700
POST,listPlaylists,725,0,1200.0,1119.257552353103,68.71600799991029,1828.093822000028,6137.0,12.255943279479233,0.0,1200,1200,1200,1200,1300,1300,1400,1400,1800,1800,1800
POST,listUsers,724,0,1200.0,1122.41842367956,72.90403599995443,1721.9781830001466,6587.0,12.239038530128227,0.0,1200,1200,1200,1200,1300,1300,1400,1400,1700,1700,1700
POST,updateMusic,710,0,1200.0,1145.5299827492972,85.95254700003352,1653.3523419998346,483.22816901408453,12.002372039214144,0.0,1200,1200,1200,1300,1300,1400,1400,1500,1700,1700,1700
POST,updatePlaylist,709,0,1200.0,1143.8253530648738,101.65379999989455,1779.376299000205,396.5514809590973,11.98546728986314,0.0,1200,1200,1200,1300,1300,1400,1400,1500,1800,1800,1800
POST,updateUser,706,0,1200.0,1152.2452300254934,83.41882000013356,1672.1187799998916,397.0297450424929,11.93475304181012,0.0,1200,1200,1200,1300,1300,1400,1400,1500,1700,1700,1700
,Aggregated,11535,0,1200.0,1124.845333776332,22.752038000135144,1881.660464999868,1828.2690073688773,194.99628376385235,0.0,1200,1200,1200,1200,1300,1300,1400,1500,1700,1800,1900
