Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781010172,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781010173,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781010174,50,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781010175,100,,Aggregated,0.000000,0.000000,130,210,250,270,300,330,360,370,370,370,370,100,0,130.0,164.70034419013245,28.93898500042269,369.21864499890944,1858.01
1781010176,150,,Aggregated,0.000000,0.000000,170,240,270,280,300,320,330,360,370,370,370,423,0,170.0,176.49143886545053,22.140839995699935,374.31962100527016,2079.5390070921985
1781010177,200,,Aggregated,0.000000,0.000000,170,240,270,280,300,320,330,360,370,370,370,423,0,170.0,176.49143886545053,22.140839995699935,374.31962100527016,2079.5390070921985
1781010178,250,,Aggregated,149.333333,0.000000,250,300,360,440,590,650,740,770,800,800,800,585,0,250.0,271.391653861755,22.140839995699935,802.8124539996497,2099.6102564102566
1781010179,300,,Aggregated,166.000000,0.000000,420,480,600,620,690,750,800,830,930,940,940,1071,0,420.0,396.94929056675545,22.140839995699935,940.9476180007914,2122.18487394958
1781010180,350,,Aggregated,166.000000,0.000000,420,480,600,620,690,750,800,830,930,940,940,1071,0,420.0,396.94929056675545,22.140839995699935,940.9476180007914,2122.18487394958
1781010181,400,,Aggregated,183.333333,0.000000,450,610,660,720,910,1000,1200,1200,1300,1300,1300,1237,0,450.0,475.4788213451104,22.140839995699935,1266.9439649980632,2133.621665319321
1781010182,450,,Aggregated,190.833333,0.000000,620,810,940,970,1100,1200,1200,1200,1300,1400,1400,1731,0,620.0,625.2789505649148,22.140839995699935,1357.0433460045024,2164.0675909878682
1781010183,500,,Aggregated,190.833333,0.000000,620,810,940,970,1100,1200,1200,1200,1300,1400,1400,1731,0,620.0,625.2789505649148,22.140839995699935,1357.0433460045024,2164.0675909878682
