Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,createMusic,585,0,96,121.03053273332259,4.1157800001201394,792.7927650002857,469.0,9.568476227271919,0.0,96,130,160,180,230,310,440,510,790,790,790
POST,createPlaylist,572,0,130.0,158.02188665734923,3.881021999859513,767.5059409998539,397.98776223776224,9.355843422221433,0.0,130,170,220,250,330,390,480,540,770,770,770
POST,createUser,577,0,100.0,125.43975464471308,3.7053309997645556,715.9232469998642,415.0,9.437625270317774,0.0,100,130,160,190,240,330,450,510,720,720,720
POST,deleteMusic,579,0,92,124.85832275131033,3.1612990001121943,1609.1233920001287,301.0,9.47033800955631,0.0,92,130,160,180,260,330,510,680,1600,1600,1600
POST,deletePlaylist,561,0,88,123.44108081640915,3.201381000053516,1650.2118430003065,313.0,9.175923356409482,0.0,88,120,160,180,240,320,530,710,1700,1700,1700
POST,deleteUser,562,0,92,128.96080951421857,3.7553619999926013,1691.5593189996798,297.0,9.19227972602875,0.0,92,130,170,180,260,340,510,710,1700,1700,1700
POST,getMusic,4168,2586,83,103.1608436533045,2.888805999646138,847.2596599999633,386.8524472168906,68.17334857311002,42.29757183542766,83,120,140,160,200,250,300,390,610,850,850
POST,getPlaylist,4180,0,84,103.53389143230378,2.8994399999646703,813.330563999898,375.1047846889952,68.36962500854123,0.0,84,120,140,160,200,240,290,360,630,810,810
POST,getUser,4143,0,84,103.86185490634925,2.466665999691031,810.9866479999255,383.81873038860726,67.76443933262831,0.0,84,120,140,160,200,240,310,370,590,810,810
POST,listMusics,4149,0,84,103.6307196495545,3.5116879998895456,874.6713730001829,10808.0,67.86257755034391,0.0,84,120,140,160,200,240,310,400,640,870,870
POST,listPlaylists,3906,0,85,104.19420167537655,3.5397010001361195,814.1442709998046,5835.0,63.88797973286174,0.0,85,110,140,160,200,250,310,380,650,810,810
POST,listUsers,3934,0,85,103.27746058871479,2.628291999826615,817.839278000065,6514.0,64.34595808220125,0.0,85,120,140,160,200,240,300,370,570,820,820
POST,updateMusic,3797,0,90,110.1367531640709,4.345079999893642,1646.6290920002393,471.0,62.1051354443615,0.0,90,120,150,160,210,260,320,390,820,1600,1600
POST,updatePlaylist,3787,0,88,109.67157116450339,4.297614000279282,1710.018902000229,396.94005809347766,61.94157174816882,0.0,88,120,150,160,210,250,330,420,840,1700,1700
POST,updateUser,3815,0,89,109.92757143145555,3.5337849999450555,1728.2359289997657,422.0,62.39955009750833,0.0,89,120,150,160,210,250,310,390,770,1700,1700
,Aggregated,39315,2586,87,107.76457716182095,2.466665999691031,1728.2359289997657,2650.1402009411167,643.0506715815308,42.29757183542766,87,120,140,160,210,250,330,410,770,1700,1700
